mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
431731000,Unryu Maru,,JIVJ,Longliners,1,15653,0,1,0,1,0,0,1,00:00.0,IATTC,05:06.0,24:06.0,4165.25
440182000,SEIWA,9021277,DSMA2,Fish carriers,0,26938,0,1,0,1,0,0,,07:31.0,WCPFC,40:31.0,30:54.0,10270
431710000,KAIYO MARU,,JKQQ,Fishery research vessels,0,15070,0,1,3,1,1,1,1,30:33.0,WCPFC,17:12.0,38:34.0,80229.6
229705000,SIERRA LAUREL,9163403,D5JZ8,Fish carriers,0,28476,1,0,1,0,1,0,,59:26.0,IOTC,04:22.0,59:25.0,4584.525
224082260,SIEMPRE KALIMA,,EA3951,Longliners,1,1493,0,1,1,1,1,1,0.999928089,12:52.0,IOTC,52:35.0,51:29.0,67654.8
627093246,Ryuta Maru,,3FSG7,Fish carriers,0,26899,1,0,0,0,0,0,,00:00.0,IATTC,44:01.0,10:54.0,6110.75
431272000,Fukushima Maru,,JBZR,Longliners,1,15598,0,1,0,1,0,0,0.172640653,00:00.0,IATTC,50:40.0,34:41.0,3306
432760000,Chosui Maru,,JNTU,Longliners,1,15691,0,1,0,1,0,0,,00:00.0,IATTC,59:12.0,36:16.0,14611.5
577169000,TAISEI MARU NO.15,,7JTK,Fish carriers,0,23977,1,0,1,0,1,0,,45:16.0,IOTC,11:44.0,08:32.0,4728.625
370599000,IBUKI,9666481,3ELC8,Fish carriers,0,24163,2,1,3,1,1,1,,10:51.0,WCPFC,07:32.0,18:27.0,62226.8
431465000,SHOYO MARU,,JLOJ,Fishery research vessels,0,15762,0,1,7,1,1,1,,28:21.0,IOTC,17:31.0,42:57.0,252590.8
273356760,HATSUKARI,9054858,YJQL2,Fish carriers,0,23988,1,0,1,0,1,1,,53:21.0,ICCAT,31:58.0,53:44.0,17177.6
577169000,Taisei Maru No. 15,,7JTK,Fish carriers,0,23977,1,0,0,0,0,0,,00:00.0,IATTC,11:44.0,08:32.0,4298.75
273351170,WIN MAX No.3,8320834,H8ON,Fish carriers,0,23966,1,0,0,0,0,1,,47:32.0,IOTC,23:32.0,28:34.0,17699
576277000,Shin Izu,,YJQA5,Fish carriers,0,23981,1,1,0,1,1,0,,00:00.0,IATTC,32:18.0,57:09.0,11182.75
441032000,SEI SHIN,8808161,DSOP5,Fish carriers,0,24160,1,1,0,1,1,1,,35:49.0,IOTC,44:34.0,30:44.0,194744
